what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1523330576465
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1523330576885
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1523330578755
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1523330578935
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1523330579275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330606277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330640860
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523330642580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330652651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330653301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330653551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330666233
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523330667383
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1523330680044
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1523330689315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330709847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523330710817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523330712987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330719128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330732649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523330737236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330739247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330742417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523330743897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330744707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523330745407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330746057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523330751988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523330759088
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1523330763389
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1523330763639
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1523330763989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1523330778740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523330780690
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523330863628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523330864278
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1523330876799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331013882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331097639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331134813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523331134843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331151353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331354361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331445399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523331476430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523331479235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331487470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331849342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331937925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523331950975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523331953009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332156936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332163013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332186163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332188740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523332189730
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1523332189972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332190360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332195347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332213489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332213869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332237407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332237773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523332239418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1523332258113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523332264676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332270622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332335600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332358747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332508580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332513234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332604803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332607387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332613341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332622055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332634224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332651649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523332654072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332658124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332661864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332685044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523332686707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332697567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332699948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332709283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332722389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332723684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1523332741176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1523332741344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1523332742056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332746613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332762181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332775808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332782585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332786778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523332786807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332787926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332789414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332796739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332828652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332836718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332843680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523332843789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332886793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332903740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1523332924358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332928170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523332931205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523332971771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523334996236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523335008458
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1523336000449
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1523336024297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523336025722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523336034542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523336054056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523336055165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523336060566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523336084827
