what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631412071
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631412161
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631415702
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631415702
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522631447169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522631483302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522631483455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631483905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631507858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631515191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631520908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631523887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631524832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631526659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631538625
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631620432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522631622380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631630565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631632906
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522631636288
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522631636608
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522631644202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631649470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631655988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631666760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631683587
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522631717855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631726542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631735019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631758152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631761434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631764295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631788518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522631792639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631795221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522631803508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522631811066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522631811762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522631812299
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522631824209
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522631824517
