what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523504798079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504801848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504804820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523504804849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504808015
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523504855873
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523504857286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523504865900
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523504866927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504867555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523504867584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523504868180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504910096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523504913922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523504915288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504915865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523504921883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523506797843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523506798151
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523506802928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523506804269
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523506805322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523506807415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523506807440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523506825658
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523506830544
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523506835477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1523506849203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523506849989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523506855707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523506880499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1523506905603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523506906036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523506906622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523507171414
